Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,15763.599609,15828.900391,15742.200195,15807.200195,15807.200195,613083200
2017-10-16,15844.000000,15880.700195,15754.099609,15857.200195,15857.200195,802654100
2017-10-23,15881.599609,15963.599609,15816.500000,15953.500000,15953.500000,875908700
2017-10-30,15942.900391,16105.900391,15942.900391,16020.200195,16020.200195,995937000
2017-11-06,16049.400391,16131.799805,16006.299805,16039.299805,16039.299805,953224500
2017-11-13,15999.099609,16065.900391,15829.400391,15998.599609,15998.599609,811551100
2017-11-20,15988.799805,16126.000000,15986.000000,16108.099609,16108.099609,610929000
2017-11-27,16110.599609,16110.599609,15926.599609,16039.000000,16039.000000,1120378300
2017-12-04,16069.400391,16113.299805,15853.099609,16096.099609,16096.099609,844375000
2017-12-11,16096.000000,16187.900391,16008.500000,16042.000000,16042.000000,1156170900
2017-12-18,16107.799805,16200.799805,16099.599609,16165.299805,16165.299805,834763500
2017-12-25,16180.400391,16232.200195,16131.799805,16209.099609,16209.099609,445232800
2018-01-01,16213.400391,16421.400391,16181.000000,16349.400391,16349.400391,710227100
2018-01-08,16355.400391,16373.500000,16229.299805,16308.200195,16308.200195,1121012700
2018-01-15,16321.799805,16384.500000,16270.599609,16353.500000,16353.500000,1005433800
2018-01-22,16348.900391,16383.799805,16180.700195,16239.200195,16239.200195,1122220000
2018-01-29,16195.700195,16195.700195,15600.900391,15606.000000,15606.000000,1135102200
2018-02-05,15490.099609,15584.099609,14785.799805,15034.500000,15034.500000,1344005300
2018-02-12,15148.099609,15500.799805,15114.000000,15452.599609,15452.599609,1223757300
2018-02-19,15427.200195,15641.099609,15414.599609,15638.500000,15638.500000,786419200
2018-02-26,15701.099609,15766.500000,15286.599609,15384.599609,15384.599609,1090261000
2018-03-05,15340.200195,15611.900391,15334.700195,15577.799805,15577.799805,761720600
2018-03-12,15579.599609,15791.200195,15549.000000,15711.299805,15711.299805,1143735300
2018-03-19,15693.099609,15741.500000,15203.900391,15223.700195,15223.700195,1097544800
2018-03-26,15334.200195,15390.799805,15150.500000,15367.299805,15367.299805,868041400
2018-04-02,15351.200195,15371.400391,14991.200195,15207.400391,15207.400391,1008729900
